sample	group	lib.size	norm.factors
TCGA-J9-A8CK-01	T	43380719.2	1
TCGA-J9-A8CL-01	T	34703375.68	1
TCGA-J9-A8CM-01	T	37170051.31	1
TCGA-J9-A8CN-01	T	39246163.98	1
TCGA-J9-A8CP-01	T	43602267.26	1
TCGA-KC-A4BL-01	T	41504675.8	1
TCGA-KC-A4BN-01	T	35312558.86	1
TCGA-KC-A4BR-01	T	43529994.12	1
TCGA-KC-A4BV-01	T	34148031.85	1
TCGA-KC-A7F3-01	T	48356000.57	1
TCGA-KC-A7F5-01	T	47713095.94	1
TCGA-KC-A7F6-01	T	39612733.32	1
TCGA-KC-A7FA-01	T	41351320.77	1
TCGA-KC-A7FD-01	T	53638218.93	1
TCGA-KC-A7FE-01	T	44962304.75	1
TCGA-KK-A59V-01	T	33821519.94	1
TCGA-KK-A59X-01	T	35775370.37	1
TCGA-KK-A59Y-01	T	34507845.61	1
TCGA-KK-A59Z-01	T	33058188.3	1
TCGA-KK-A5A1-01	T	39019115.69	1
TCGA-KK-A6DY-01	T	47007936.68	1
TCGA-KK-A6E0-01	T	44376027.97	1
TCGA-KK-A6E1-01	T	40871324.79	1
TCGA-KK-A6E2-01	T	45855396.93	1
TCGA-KK-A6E3-01	T	42784394.85	1
TCGA-KK-A6E4-01	T	51350858.76	1
TCGA-KK-A6E5-01	T	42218355.77	1
TCGA-KK-A6E6-01	T	41460115.61	1
TCGA-KK-A6E7-01	T	56200162.05	1
TCGA-KK-A6E8-01	T	44178703.77	1
TCGA-KK-A7AP-01	T	50803816.11	1
TCGA-KK-A7AQ-01	T	39612499.39	1
TCGA-KK-A7AU-01	T	50672911.43	1
TCGA-KK-A7AV-01	T	36125157.49	1
TCGA-KK-A7AW-01	T	31491109.11	1
TCGA-KK-A7AY-01	T	32279113.37	1
TCGA-KK-A7AZ-01	T	51092692	1
TCGA-KK-A7B0-01	T	44910246.86	1
TCGA-KK-A7B1-01	T	57105921.95	1
TCGA-KK-A7B2-01	T	38102362.99	1
TCGA-KK-A7B3-01	T	52587216.49	1
TCGA-KK-A7B4-01	T	54241950.68	1
TCGA-KK-A8I4-01	T	47951559.23	1
TCGA-KK-A8I5-01	T	36024016.67	1
TCGA-KK-A8I6-01	T	49005389.24	1
TCGA-KK-A8I7-01	T	44304603.88	1
TCGA-KK-A8I8-01	T	34622976.97	1
TCGA-KK-A8I9-01	T	38347459.71	1
TCGA-KK-A8IA-01	T	54346728.95	1
TCGA-KK-A8IB-01	T	37994596.91	1
TCGA-KK-A8IC-01	T	48752555.07	1
TCGA-KK-A8ID-01	T	52670464.28	1
TCGA-KK-A8IF-01	T	30674339.93	1
TCGA-KK-A8IG-01	T	39468295.89	1
TCGA-KK-A8IH-01	T	28085353.84	1
TCGA-KK-A8II-01	T	52094266.5	1
TCGA-KK-A8IJ-01	T	46840583.19	1
TCGA-KK-A8IK-01	T	38414130.82	1
TCGA-KK-A8IL-01	T	41933416.63	1
TCGA-KK-A8IM-01	T	43559114.56	1
TCGA-M7-A71Y-01	T	33554768.09	1
TCGA-M7-A71Z-01	T	42982401.55	1
TCGA-M7-A720-01	T	52336701.19	1
TCGA-M7-A721-01	T	40536758.21	1
TCGA-M7-A722-01	T	38122133.05	1
TCGA-M7-A723-01	T	36245835.16	1
TCGA-M7-A724-01	T	56072220.68	1
TCGA-M7-A725-01	T	55567800.11	1
TCGA-MG-AAMC-01	T	32698409.61	1
TCGA-QU-A6IL-01	T	17616080.73	1
TCGA-QU-A6IM-01	T	36054170.93	1
TCGA-QU-A6IN-01	T	45621845.54	1
TCGA-QU-A6IO-01	T	58307228.87	1
TCGA-QU-A6IP-01	T	34787332.25	1
TCGA-SU-A7E7-01	T	42001112.67	1
TCGA-TK-A8OK-01	T	43521230.27	1
TCGA-TP-A8TT-01	T	27881258.68	1
TCGA-TP-A8TV-01	T	37720989.54	1
TCGA-V1-A8MF-01	T	30085968.53	1
TCGA-V1-A8MG-01	T	28045477.29	1
TCGA-V1-A8MJ-01	T	37501971.13	1
TCGA-V1-A8MK-01	T	45155991.85	1
TCGA-V1-A8ML-01	T	40500365.91	1
TCGA-V1-A8MM-01	T	42146423.59	1
TCGA-V1-A8MU-01	T	41011676.17	1
TCGA-V1-A8WL-01	T	33325994.72	1
TCGA-V1-A8WN-01	T	52882178.18	1
TCGA-V1-A8WS-01	T	54712552.83	1
TCGA-V1-A8WV-01	T	33495165.95	1
TCGA-V1-A8WW-01	T	44444232.63	1
TCGA-V1-A8X3-01	T	48598272.78	1
TCGA-V1-A9O5-01	T	55961740.28	1
TCGA-V1-A9O7-01	T	61380787.77	1
TCGA-V1-A9O9-01	T	52568292.42	1
TCGA-V1-A9OA-01	T	27464674.03	1
TCGA-V1-A9OF-01	T	37129963.52	1
TCGA-V1-A9OH-01	T	32652094.09	1
TCGA-V1-A9OL-01	T	48755115.2	1
TCGA-V1-A9OQ-01	T	28927693.13	1
TCGA-V1-A9OT-01	T	30883256.63	1
TCGA-V1-A9OX-01	T	37969646.39	1
TCGA-V1-A9OY-01	T	40836684.67	1
TCGA-V1-A9Z7-01	T	49736327.41	1
TCGA-V1-A9Z8-01	T	35517971.26	1
TCGA-V1-A9Z9-01	T	17448792.26	1
TCGA-V1-A9ZG-01	T	53304270.28	1
TCGA-V1-A9ZI-01	T	22372567.32	1
TCGA-V1-A9ZK-01	T	54600015.69	1
TCGA-V1-A9ZR-01	T	33306624.91	1
TCGA-VN-A88I-01	T	34257395.75	1
TCGA-VN-A88K-01	T	47004393.97	1
TCGA-VN-A88L-01	T	41242971.17	1
TCGA-VN-A88M-01	T	36652546.8	1
TCGA-VN-A88N-01	T	43802682.95	1
TCGA-VN-A88O-01	T	43939432.44	1
TCGA-VN-A88P-01	T	35219444.5	1
TCGA-VN-A88Q-01	T	42460811.31	1
TCGA-VN-A88R-01	T	34100818.55	1
TCGA-VN-A943-01	T	27024119.46	1
TCGA-VP-A872-01	T	34464213.62	1
TCGA-VP-A875-01	T	52405677.83	1
TCGA-VP-A876-01	T	34972958.52	1
TCGA-VP-A878-01	T	44592602.78	1
TCGA-VP-A879-01	T	41619688.87	1
TCGA-VP-A87B-01	T	37035020.3	1
TCGA-VP-A87C-01	T	44834228.02	1
TCGA-VP-A87D-01	T	39885075.15	1
TCGA-VP-A87E-01	T	40357008.64	1
TCGA-VP-A87H-01	T	42538780.75	1
TCGA-VP-A87J-01	T	52642288.67	1
TCGA-VP-A87K-01	T	52039447.28	1
TCGA-VP-AA1N-01	T	60519476.47	1
TCGA-WW-A8ZI-01	T	29371047.93	1
